S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
6,6,5,5000,"{1: np.int64(877), 2: np.int64(949), 3: np.int64(771), 4: np.int64(822), 5: np.int64(856)}",30936.0,17100.0,48036.0,0.15652179718017578,0.0
6,6,5,5000,"{1: np.int64(877), 2: np.int64(949), 3: np.int64(771), 4: np.int64(822), 5: np.int64(856)}",30936.0,17100.0,48036.0,0.2198648452758789,0.0
6,6,5,5000,"{1: np.int64(877), 2: np.int64(949), 3: np.int64(771), 4: np.int64(822), 5: np.int64(856)}",30936.0,17100.0,48036.0,0.17858409881591797,0.0
6,6,5,5000,"{1: np.int64(877), 2: np.int64(949), 3: np.int64(771), 4: np.int64(822), 5: np.int64(856)}",30936.0,17100.0,48036.0,0.15758800506591797,0.0
6,6,5,5000,"{1: np.int64(877), 2: np.int64(949), 3: np.int64(771), 4: np.int64(822), 5: np.int64(856)}",30936.0,17100.0,48036.0,0.22005009651184082,0.0
