S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
12,12,15,7000,"{1: np.int64(608), 2: np.int64(636), 3: np.int64(556), 4: np.int64(518), 5: np.int64(546), 6: np.int64(634), 7: np.int64(543), 8: np.int64(556), 9: np.int64(568), 10: np.int64(569), 11: np.int64(567), 12: np.int64(656), 13: np.int64(523), 14: np.int64(496), 15: np.int64(660)}",69366.99997979344,34543.99999999771,103910.99997979114,51.22674107551575,0.0
12,12,15,7000,"{1: np.int64(608), 2: np.int64(636), 3: np.int64(556), 4: np.int64(518), 5: np.int64(546), 6: np.int64(634), 7: np.int64(543), 8: np.int64(556), 9: np.int64(568), 10: np.int64(569), 11: np.int64(567), 12: np.int64(656), 13: np.int64(523), 14: np.int64(496), 15: np.int64(660)}",69366.99997979344,34543.99999999771,103910.99997979114,62.90992093086243,0.0
12,12,15,7000,"{1: np.int64(608), 2: np.int64(636), 3: np.int64(556), 4: np.int64(518), 5: np.int64(546), 6: np.int64(634), 7: np.int64(543), 8: np.int64(556), 9: np.int64(568), 10: np.int64(569), 11: np.int64(567), 12: np.int64(656), 13: np.int64(523), 14: np.int64(496), 15: np.int64(660)}",69366.99997979344,34543.99999999771,103910.99997979114,57.63298416137695,0.0
12,12,15,7000,"{1: np.int64(608), 2: np.int64(636), 3: np.int64(556), 4: np.int64(518), 5: np.int64(546), 6: np.int64(634), 7: np.int64(543), 8: np.int64(556), 9: np.int64(568), 10: np.int64(569), 11: np.int64(567), 12: np.int64(656), 13: np.int64(523), 14: np.int64(496), 15: np.int64(660)}",69366.99997979344,34543.99999999771,103910.99997979114,58.053184032440186,0.0
12,12,15,7000,"{1: np.int64(608), 2: np.int64(636), 3: np.int64(556), 4: np.int64(518), 5: np.int64(546), 6: np.int64(634), 7: np.int64(543), 8: np.int64(556), 9: np.int64(568), 10: np.int64(569), 11: np.int64(567), 12: np.int64(656), 13: np.int64(523), 14: np.int64(496), 15: np.int64(660)}",69366.99997979344,34543.99999999771,103910.99997979114,56.08033204078674,0.0
