iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,6883.599999999999,6883.599999999999,101179.0,0.0,6883.599999999999,6.506953001022339,0.0
2.0,6883.599999999999,6999.999999999999,101179.0,0.0,6999.999999999999,3.521834135055542,0.0
4.0,6883.599999999999,7000.000000000002,103007.0,0.0,7000.000000000002,0.739933967590332,0.0
5.0,6883.599999999999,7000.0,104978.0,0.0,7000.0,0.5384500026702881,0.0
7.0,6883.599999999999,7000.0,104978.0,0.0,7000.0,0.538773775100708,0.0
23.0,6883.599999999999,6999.999999999998,101179.0,0.0,6999.999999999998,2.6042819023132324,5.682997456610518e-08
