S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
12,12,15,7000,"{1: np.int64(610), 2: np.int64(543), 3: np.int64(535), 4: np.int64(649), 5: np.int64(514), 6: np.int64(587), 7: np.int64(645), 8: np.int64(538), 9: np.int64(532), 10: np.int64(649), 11: np.int64(569), 12: np.int64(621), 13: np.int64(501), 14: np.int64(559), 15: np.int64(525)}",71812.0,34308.0,106120.0,8.243621110916138,7.27050339929059e-05
12,12,15,7000,"{1: np.int64(610), 2: np.int64(543), 3: np.int64(535), 4: np.int64(649), 5: np.int64(514), 6: np.int64(587), 7: np.int64(645), 8: np.int64(538), 9: np.int64(532), 10: np.int64(649), 11: np.int64(569), 12: np.int64(621), 13: np.int64(501), 14: np.int64(559), 15: np.int64(525)}",71812.0,34308.0,106120.0,5.944893836975098,7.27050339929059e-05
12,12,15,7000,"{1: np.int64(610), 2: np.int64(543), 3: np.int64(535), 4: np.int64(649), 5: np.int64(514), 6: np.int64(587), 7: np.int64(645), 8: np.int64(538), 9: np.int64(532), 10: np.int64(649), 11: np.int64(569), 12: np.int64(621), 13: np.int64(501), 14: np.int64(559), 15: np.int64(525)}",71812.0,34308.0,106120.0,5.627344131469727,7.27050339929059e-05
12,12,15,7000,"{1: np.int64(610), 2: np.int64(543), 3: np.int64(535), 4: np.int64(649), 5: np.int64(514), 6: np.int64(587), 7: np.int64(645), 8: np.int64(538), 9: np.int64(532), 10: np.int64(649), 11: np.int64(569), 12: np.int64(621), 13: np.int64(501), 14: np.int64(559), 15: np.int64(525)}",71812.0,34308.0,106120.0,6.248300075531006,7.27050339929059e-05
12,12,15,7000,"{1: np.int64(610), 2: np.int64(543), 3: np.int64(535), 4: np.int64(649), 5: np.int64(514), 6: np.int64(587), 7: np.int64(645), 8: np.int64(538), 9: np.int64(532), 10: np.int64(649), 11: np.int64(569), 12: np.int64(621), 13: np.int64(501), 14: np.int64(559), 15: np.int64(525)}",71812.0,34308.0,106120.0,5.064022064208984,7.27050339929059e-05
