S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
9,9,10,3000,"{1: np.int64(318), 2: np.int64(358), 3: np.int64(315), 4: np.int64(339), 5: np.int64(373), 6: np.int64(293), 7: np.int64(289), 8: np.int64(306), 9: np.int64(359), 10: np.int64(344)}",25683.0,13176.0,38859.0,1.444709062576294,0.0
9,9,10,3000,"{1: np.int64(318), 2: np.int64(358), 3: np.int64(315), 4: np.int64(339), 5: np.int64(373), 6: np.int64(293), 7: np.int64(289), 8: np.int64(306), 9: np.int64(359), 10: np.int64(344)}",25683.0,13176.0,38859.0,0.9851820468902588,0.0
9,9,10,3000,"{1: np.int64(318), 2: np.int64(358), 3: np.int64(315), 4: np.int64(339), 5: np.int64(373), 6: np.int64(293), 7: np.int64(289), 8: np.int64(306), 9: np.int64(359), 10: np.int64(344)}",25683.0,13176.0,38859.0,1.1306419372558594,0.0
