iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,7000.000000000001,7000.000000000001,127631.0,0.0,7000.000000000001,1.1126718521118164,0.0
2.0,7000.0,7000.0,127631.0,0.0,7000.0,1.8193550109863281,0.0
3.0,7000.0,7000.000000000001,127631.0,0.0,7000.000000000001,1.192284107208252,0.0
5.0,7000.0,7000.0,127631.0,0.0,7000.0,1.6290757656097412,0.0
6.0,6999.999999999999,6999.999999999999,127631.0,0.0,6999.999999999999,2.0533671379089355,0.0
7.0,6999.999999999999,7000.0,127631.0,0.0,7000.0,1.9582109451293945,0.0
8.0,6999.999999999999,7000.0,127631.0,0.0,7000.0,1.7807931900024414,0.0
15.0,6999.999999999999,7000.0,127631.0,0.0,7000.0,1.0833439826965332,0.0
19.0,6999.999999999999,6999.999999999999,127631.0,0.0,6999.999999999999,1.615570068359375,0.0
23.0,6999.999999999999,7000.000000000002,127631.0,0.0,7000.000000000002,0.696462869644165,0.0
29.0,6999.999999999999,7000.0,127631.0,0.0,7000.0,0.9044919013977051,0.0
30.0,6999.999999999998,6999.999999999998,127631.0,0.0,6999.999999999998,1.0541231632232666,0.0
