iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,3000.0,3000.0,20365.0,0.0,3000.0,0.2474219799041748,0.0
2.0,3000.0,3000.0,20365.0,0.0,3000.0,0.13556504249572754,0.0
5.0,2999.9999999999995,2999.9999999999995,20365.0,0.0,2999.9999999999995,0.17469096183776855,0.0
6.0,2999.9999999999995,3000.0,20365.0,0.0,3000.0,0.18083500862121582,0.0
7.0,2999.9999999999995,3000.0,20365.0,0.0,3000.0,0.14416193962097168,0.0
8.0,2999.9999999999995,3000.0,20365.0,0.0,3000.0,0.11700296401977539,0.0
