iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,3000.0,3000.0,30517.999963173028,0.0,3000.0,8.038581132888794,3.2998563851442674e-05
2.0,2999.999999751618,2999.999999751618,30517.999996523977,0.0,2999.999999751618,8.413132905960083,0.0
3.0,2999.999999751618,3000.0,30518.0,0.0,3000.0,0.7510478496551514,0.0
6.0,2999.999999751618,2999.9999999999995,30518.0,0.0,2999.9999999999995,8.511528015136719,6.553515966320964e-05
7.0,2999.999999751618,3000.0,30517.999994668982,0.0,3000.0,6.8239641189575195,0.0
11.0,2999.999999751618,2999.999999773253,30517.999995887112,0.0,2999.999999773253,6.484004020690918,2.6485553819666063e-12
12.0,2999.999999751618,3000.0,30518.0,0.0,3000.0,0.632148027420044,0.0
16.0,2999.999999751618,3000.0,30880.99999662667,0.0,3000.0,1.0844120979309082,0.0
