iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,10000.0,10000.0,135234.0,0.0,10000.0,6.42289400100708,0.0
2.0,10000.0,10000.0,135234.0,0.0,10000.0,6.704946994781494,0.0
4.0,10000.0,10000.0,135234.0,0.0,10000.0,6.243383169174194,0.0
5.0,10000.0,10000.0,135234.0,0.0,10000.0,5.408432960510254,0.0
6.0,10000.0,10000.0,135234.0,0.0,10000.0,5.9753570556640625,0.0
7.0,10000.0,10000.0,135772.0,0.0,10000.0,0.3930830955505371,0.0
24.0,9999.999999999996,9999.999999999996,135234.0,0.0,9999.999999999996,5.455013036727905,0.0
25.0,9999.999999999996,10000.0,135234.0,0.0,10000.0,5.424196004867554,9.874678915870985e-05
