iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,3000.0,3000.0,57110.0,0.0,3000.0,0.0037920475006103516,0.0
2.0,3000.0,3000.0,57110.0,0.0,3000.0,0.004008054733276367,0.0
3.0,3000.0,3000.0,57110.0,0.0,3000.0,0.0038900375366210938,0.0
4.0,3000.0,3000.0,57110.0,0.0,3000.0,0.004290103912353516,0.0
5.0,3000.0,3000.0,57110.0,0.0,3000.0,0.004097938537597656,0.0
8.0,3000.0,3000.0,57110.0,0.0,3000.0,0.0037529468536376953,0.0
17.0,3000.0,3000.0,57110.0,0.0,3000.0,0.0039789676666259766,0.0
18.0,3000.0,3000.0,57110.0,0.0,3000.0,0.0038781166076660156,0.0
19.0,3000.0,3000.0,57110.0,0.0,3000.0,0.0039501190185546875,0.0
20.0,3000.0,3000.0,57110.0,0.0,3000.0,0.0038847923278808594,0.0
21.0,3000.0,3000.0,57110.0,0.0,3000.0,0.003906965255737305,0.0
22.0,3000.0,3000.0,57110.0,0.0,3000.0,0.0039539337158203125,0.0
23.0,3000.0,3000.0,57110.0,0.0,3000.0,0.004083871841430664,0.0
24.0,3000.0,3000.0,57110.0,0.0,3000.0,0.003911018371582031,0.0
25.0,3000.0,3000.0,57110.0,0.0,3000.0,0.003741025924682617,0.0
