S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
12,12,10,7000,"{1: np.int64(583), 2: np.int64(551), 3: np.int64(550), 4: np.int64(557), 5: np.int64(609), 6: np.int64(598), 7: np.int64(558), 8: np.int64(529), 9: np.int64(553), 10: np.int64(517)}",44627.0,22420.0,67047.0,100.03013110160828,0.028255500568729774
12,12,10,7000,"{1: np.int64(583), 2: np.int64(551), 3: np.int64(550), 4: np.int64(557), 5: np.int64(609), 6: np.int64(598), 7: np.int64(558), 8: np.int64(529), 9: np.int64(553), 10: np.int64(517)}",44627.0,22420.0,67047.0,100.02798700332642,0.02494213339657376
12,12,10,7000,"{1: np.int64(583), 2: np.int64(551), 3: np.int64(550), 4: np.int64(557), 5: np.int64(609), 6: np.int64(598), 7: np.int64(558), 8: np.int64(529), 9: np.int64(553), 10: np.int64(517)}",44627.0,22420.0,67047.0,100.03082513809204,0.02798754806994751
12,12,10,7000,"{1: np.int64(583), 2: np.int64(551), 3: np.int64(550), 4: np.int64(557), 5: np.int64(609), 6: np.int64(598), 7: np.int64(558), 8: np.int64(529), 9: np.int64(553), 10: np.int64(517)}",44627.0,22420.0,67047.0,100.04019498825073,0.02494213339657376
12,12,10,7000,"{1: np.int64(583), 2: np.int64(551), 3: np.int64(550), 4: np.int64(557), 5: np.int64(609), 6: np.int64(598), 7: np.int64(558), 8: np.int64(529), 9: np.int64(553), 10: np.int64(517)}",44627.0,22420.0,67047.0,100.02784895896912,0.02798754806994751
