iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,5000.0,5000.0,240521.0,0.0,5000.0,0.015144109725952148,0.0
2.0,5000.0,5000.0,240521.0,0.0,5000.0,0.014233112335205078,0.0
3.0,5000.0,5000.0,240521.0,0.0,5000.0,0.01388692855834961,0.0
4.0,5000.0,5000.0,240521.0,0.0,5000.0,0.014159917831420898,0.0
5.0,4852.0,4852.0,240521.0,0.0,4852.0,0.01388406753540039,0.0
6.0,4852.0,4852.000000000001,240521.0,0.0,4852.000000000001,0.013398170471191406,0.0
7.0,4852.0,5000.0,240521.0,0.0,5000.0,0.012337923049926758,0.0
8.0,4852.0,5000.0,240521.0,0.0,5000.0,0.012081146240234375,0.0
9.0,4852.0,5000.0,240521.0,0.0,5000.0,0.012057065963745117,0.0
10.0,4852.0,5000.0,240521.0,0.0,5000.0,0.01190495491027832,0.0
11.0,4852.0,5000.0,240521.0,0.0,5000.0,0.012235879898071289,0.0
20.0,4852.0,5000.0,240521.0,0.0,5000.0,0.015298128128051758,0.0
21.0,4852.0,5000.0,240521.0,0.0,5000.0,0.015455007553100586,0.0
22.0,4852.0,5000.0,240521.0,0.0,5000.0,0.015268087387084961,0.0
23.0,4852.0,5000.0,240521.0,0.0,5000.0,0.015261173248291016,0.0
24.0,4852.0,5000.0,240521.0,0.0,5000.0,0.015151023864746094,0.0
25.0,4852.0,5000.0,240521.0,0.0,5000.0,0.013971090316772461,0.0
26.0,4852.0,5000.0,240521.0,0.0,5000.0,0.012902975082397461,0.0
27.0,4852.0,4852.0,240521.0,0.0,4852.0,0.012850046157836914,0.0
28.0,4852.0,4852.0,240521.0,0.0,4852.0,0.013011932373046875,0.0
29.0,4852.0,4852.0,240521.0,0.0,4852.0,0.012778043746948242,0.0
