S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
12,12,10,3000,"{1: np.int64(262), 2: np.int64(215), 3: np.int64(279), 4: np.int64(222), 5: np.int64(285), 6: np.int64(262), 7: np.int64(217), 8: np.int64(225), 9: np.int64(260), 10: np.int64(255)}",19626.0,9928.0,29554.0,12.791318893432617,7.681681988148855e-12
12,12,10,3000,"{1: np.int64(262), 2: np.int64(215), 3: np.int64(279), 4: np.int64(222), 5: np.int64(285), 6: np.int64(262), 7: np.int64(217), 8: np.int64(225), 9: np.int64(260), 10: np.int64(255)}",19626.0,9928.0,29554.0,19.1373929977417,7.681681988148855e-12
12,12,10,3000,"{1: np.int64(262), 2: np.int64(215), 3: np.int64(279), 4: np.int64(222), 5: np.int64(285), 6: np.int64(262), 7: np.int64(217), 8: np.int64(225), 9: np.int64(260), 10: np.int64(255)}",19626.0,9928.0,29554.0,18.315006971359253,7.681681988148855e-12
12,12,10,3000,"{1: np.int64(262), 2: np.int64(215), 3: np.int64(279), 4: np.int64(222), 5: np.int64(285), 6: np.int64(262), 7: np.int64(217), 8: np.int64(225), 9: np.int64(260), 10: np.int64(255)}",19626.0,9928.0,29554.0,19.29805898666382,7.681681988148855e-12
12,12,10,3000,"{1: np.int64(262), 2: np.int64(215), 3: np.int64(279), 4: np.int64(222), 5: np.int64(285), 6: np.int64(262), 7: np.int64(217), 8: np.int64(225), 9: np.int64(260), 10: np.int64(255)}",19626.0,9928.0,29554.0,30.90562391281128,7.681681988148855e-12
