S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
3,3,10,5000,"{1: np.int64(1670), 2: np.int64(1623), 3: np.int64(1716), 4: np.int64(1632), 5: np.int64(1497), 6: np.int64(1569), 7: np.int64(1822), 8: np.int64(1438), 9: np.int64(1439), 10: np.int64(1729)}",119428.0,72042.0,191470.0,0.008129119873046875,0.0
3,3,10,5000,"{1: np.int64(1670), 2: np.int64(1623), 3: np.int64(1716), 4: np.int64(1632), 5: np.int64(1497), 6: np.int64(1569), 7: np.int64(1822), 8: np.int64(1438), 9: np.int64(1439), 10: np.int64(1729)}",119428.0,72042.0,191470.0,0.00814199447631836,0.0
3,3,10,5000,"{1: np.int64(1670), 2: np.int64(1623), 3: np.int64(1716), 4: np.int64(1632), 5: np.int64(1497), 6: np.int64(1569), 7: np.int64(1822), 8: np.int64(1438), 9: np.int64(1439), 10: np.int64(1729)}",119428.0,72042.0,191470.0,0.008105993270874023,0.0
3,3,10,5000,"{1: np.int64(1670), 2: np.int64(1623), 3: np.int64(1716), 4: np.int64(1632), 5: np.int64(1497), 6: np.int64(1569), 7: np.int64(1822), 8: np.int64(1438), 9: np.int64(1439), 10: np.int64(1729)}",119428.0,72042.0,191470.0,0.008912086486816406,0.0
3,3,10,5000,"{1: np.int64(1670), 2: np.int64(1623), 3: np.int64(1716), 4: np.int64(1632), 5: np.int64(1497), 6: np.int64(1569), 7: np.int64(1822), 8: np.int64(1438), 9: np.int64(1439), 10: np.int64(1729)}",119428.0,72042.0,191470.0,0.008460044860839844,0.0
