S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
6,6,15,5000,"{1: np.int64(780), 2: np.int64(949), 3: np.int64(902), 4: np.int64(810), 5: np.int64(944), 6: np.int64(863), 7: np.int64(912), 8: np.int64(781), 9: np.int64(756), 10: np.int64(819), 11: np.int64(742), 12: np.int64(803), 13: np.int64(948), 14: np.int64(791), 15: np.int64(710)}",101710.0,51551.0,153261.0,1.4262821674346924,0.0
6,6,15,5000,"{1: np.int64(780), 2: np.int64(949), 3: np.int64(902), 4: np.int64(810), 5: np.int64(944), 6: np.int64(863), 7: np.int64(912), 8: np.int64(781), 9: np.int64(756), 10: np.int64(819), 11: np.int64(742), 12: np.int64(803), 13: np.int64(948), 14: np.int64(791), 15: np.int64(710)}",101710.0,51551.0,153261.0,1.413707971572876,0.0
6,6,15,5000,"{1: np.int64(780), 2: np.int64(949), 3: np.int64(902), 4: np.int64(810), 5: np.int64(944), 6: np.int64(863), 7: np.int64(912), 8: np.int64(781), 9: np.int64(756), 10: np.int64(819), 11: np.int64(742), 12: np.int64(803), 13: np.int64(948), 14: np.int64(791), 15: np.int64(710)}",101710.0,51551.0,153261.0,0.751187801361084,0.0
6,6,15,5000,"{1: np.int64(780), 2: np.int64(949), 3: np.int64(902), 4: np.int64(810), 5: np.int64(944), 6: np.int64(863), 7: np.int64(912), 8: np.int64(781), 9: np.int64(756), 10: np.int64(819), 11: np.int64(742), 12: np.int64(803), 13: np.int64(948), 14: np.int64(791), 15: np.int64(710)}",101710.0,51551.0,153261.0,0.9719181060791016,0.0
6,6,15,5000,"{1: np.int64(780), 2: np.int64(949), 3: np.int64(902), 4: np.int64(810), 5: np.int64(944), 6: np.int64(863), 7: np.int64(912), 8: np.int64(781), 9: np.int64(756), 10: np.int64(819), 11: np.int64(742), 12: np.int64(803), 13: np.int64(948), 14: np.int64(791), 15: np.int64(710)}",101710.0,51551.0,153261.0,0.6907379627227783,0.0
