iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,5000.0,5000.0,106132.0,0.0,5000.0,0.22085213661193848,0.0
2.0,5000.0,5000.0,106132.0,0.0,5000.0,0.23992705345153809,0.0
3.0,5000.0,5000.0,106132.0,0.0,5000.0,0.20242786407470703,0.0
4.0,5000.0,5000.0,106132.0,0.0,5000.0,0.17116212844848633,0.0
5.0,5000.0,5000.0,106132.0,0.0,5000.0,0.20376992225646973,0.0
6.0,5000.0,5000.0,106132.0,0.0,5000.0,0.14837193489074707,0.0
7.0,5000.0,5000.0,106132.0,0.0,5000.0,0.15543317794799805,0.0
8.0,5000.0,5000.0,106132.0,0.0,5000.0,0.11605310440063477,0.0
23.0,4999.999999999999,4999.999999999999,106132.0,0.0,4999.999999999999,0.05477285385131836,0.0
