S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
6,6,5,3000,"{1: np.int64(486), 2: np.int64(430), 3: np.int64(488), 4: np.int64(462), 5: np.int64(558)}",16496.0,9696.0,26192.0,0.9096479415893555,0.0
6,6,5,3000,"{1: np.int64(486), 2: np.int64(430), 3: np.int64(488), 4: np.int64(462), 5: np.int64(558)}",16496.0,9696.0,26192.0,0.49992799758911133,0.0
6,6,5,3000,"{1: np.int64(486), 2: np.int64(430), 3: np.int64(488), 4: np.int64(462), 5: np.int64(558)}",16496.0,9696.0,26192.0,0.5756521224975586,0.0
6,6,5,3000,"{1: np.int64(486), 2: np.int64(430), 3: np.int64(488), 4: np.int64(462), 5: np.int64(558)}",16496.0,9696.0,26192.0,0.6886999607086182,0.0
6,6,5,3000,"{1: np.int64(486), 2: np.int64(430), 3: np.int64(488), 4: np.int64(462), 5: np.int64(558)}",16496.0,9696.0,26192.0,0.6631228923797607,0.0
