S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
3,3,10,10000,"{1: np.int64(3187), 2: np.int64(3814), 3: np.int64(3795), 4: np.int64(2994), 5: np.int64(3587), 6: np.int64(3548), 7: np.int64(3294), 8: np.int64(3363), 9: np.int64(3323), 10: np.int64(3758)}",275422.0,138652.0,414074.0,0.007860898971557617,0.0
3,3,10,10000,"{1: np.int64(3187), 2: np.int64(3814), 3: np.int64(3795), 4: np.int64(2994), 5: np.int64(3587), 6: np.int64(3548), 7: np.int64(3294), 8: np.int64(3363), 9: np.int64(3323), 10: np.int64(3758)}",275422.0,138652.0,414074.0,0.008159875869750977,0.0
3,3,10,10000,"{1: np.int64(3187), 2: np.int64(3814), 3: np.int64(3795), 4: np.int64(2994), 5: np.int64(3587), 6: np.int64(3548), 7: np.int64(3294), 8: np.int64(3363), 9: np.int64(3323), 10: np.int64(3758)}",275422.0,138652.0,414074.0,0.007843017578125,0.0
3,3,10,10000,"{1: np.int64(3187), 2: np.int64(3814), 3: np.int64(3795), 4: np.int64(2994), 5: np.int64(3587), 6: np.int64(3548), 7: np.int64(3294), 8: np.int64(3363), 9: np.int64(3323), 10: np.int64(3758)}",275422.0,138652.0,414074.0,0.008440017700195312,0.0
3,3,10,10000,"{1: np.int64(3187), 2: np.int64(3814), 3: np.int64(3795), 4: np.int64(2994), 5: np.int64(3587), 6: np.int64(3548), 7: np.int64(3294), 8: np.int64(3363), 9: np.int64(3323), 10: np.int64(3758)}",275422.0,138652.0,414074.0,0.009024858474731445,0.0
