S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
6,6,10,7000,"{1: np.int64(1256), 2: np.int64(1293), 3: np.int64(1238), 4: np.int64(1157), 5: np.int64(1070), 6: np.int64(1222), 7: np.int64(1102), 8: np.int64(1027), 9: np.int64(1148), 10: np.int64(1297)}",101937.99997859784,47240.0000000002,149177.99997859803,0.731065034866333,0.0
6,6,10,7000,"{1: np.int64(1256), 2: np.int64(1293), 3: np.int64(1238), 4: np.int64(1157), 5: np.int64(1070), 6: np.int64(1222), 7: np.int64(1102), 8: np.int64(1027), 9: np.int64(1148), 10: np.int64(1297)}",101937.99997859784,47240.0000000002,149177.99997859803,0.7794110774993896,0.0
6,6,10,7000,"{1: np.int64(1256), 2: np.int64(1293), 3: np.int64(1238), 4: np.int64(1157), 5: np.int64(1070), 6: np.int64(1222), 7: np.int64(1102), 8: np.int64(1027), 9: np.int64(1148), 10: np.int64(1297)}",101937.99997859784,47240.0000000002,149177.99997859803,0.8201909065246582,0.0
6,6,10,7000,"{1: np.int64(1256), 2: np.int64(1293), 3: np.int64(1238), 4: np.int64(1157), 5: np.int64(1070), 6: np.int64(1222), 7: np.int64(1102), 8: np.int64(1027), 9: np.int64(1148), 10: np.int64(1297)}",101937.99997859784,47240.0000000002,149177.99997859803,0.6621849536895752,0.0
6,6,10,7000,"{1: np.int64(1256), 2: np.int64(1293), 3: np.int64(1238), 4: np.int64(1157), 5: np.int64(1070), 6: np.int64(1222), 7: np.int64(1102), 8: np.int64(1027), 9: np.int64(1148), 10: np.int64(1297)}",101937.99997859784,47240.0000000002,149177.99997859803,0.4931349754333496,0.0
