attr,value
lobjval,5667916.301422222
fobjval,23717.58918674283
lz1,18398.132533333333
lz2,5649518.168888888
tot_runtime,1016.4829392433167
gapf,0.0009263169428633733
best_it,3.0
improvementHeuristic,0.005379668481178069
