S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
12,12,5,1543,"{1: np.int64(249), 2: np.int64(231), 3: np.int64(244), 4: np.int64(263), 5: np.int64(281)}",7744.846162255614,5072.0,12816.846162255613,38.63872003555298,9.268527271593276e-05
12,12,5,1543,"{1: np.int64(249), 2: np.int64(231), 3: np.int64(244), 4: np.int64(263), 5: np.int64(281)}",7744.846162255614,5072.0,12816.846162255613,38.585834980010986,9.268527271593276e-05
