iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
2.0,189157.47416505934,189157.47416505934,60784.24824841977,184860.02216368663,4297.452001372714,0.8199770450592041,0.0
5.0,189157.47416505934,223872.402340158,62134.588936725006,219673.4412784116,4198.961061746419,1.0115458965301514,0.0
6.0,189157.47416505934,213419.27518133743,62108.72512627122,209216.80459578094,4202.470585556499,0.9642820358276367,0.0
7.0,189157.47416505934,224053.7816577263,62118.531552124376,219861.83964359833,4191.942014127964,0.7309920787811279,0.0
8.0,189157.47416505934,224995.9212224781,62130.379768081046,220800.1743315138,4195.746890964308,0.9723608493804932,0.0
9.0,189157.47416505934,211287.3344499133,61450.72738678976,207075.763291752,4211.571158161312,1.2039320468902588,0.0
10.0,189157.47416505934,211253.13041463788,61473.822819117035,207048.69655482628,4204.433859811612,0.7998080253601074,0.0
11.0,189157.47416505934,234998.51868112263,61796.56221140041,230869.0095432128,4129.509137909818,0.698401927947998,0.0
12.0,189157.47416505934,232136.97437941312,61692.277376547296,227964.25744305892,4172.716936354203,0.7655739784240723,0.0
13.0,189157.47416505934,232701.9924978812,61688.632991810075,228542.0555955329,4159.936902348295,0.9422028064727783,0.0
14.0,189157.47416505934,315953.2053306552,64841.721999546164,311888.9196163695,4064.2857142857133,1.2337450981140137,0.0
15.0,189157.47416505934,283422.159003556,65203.44006916486,279357.87328927027,4064.2857142857138,1.027163028717041,0.0
16.0,189157.47416505934,195313.29279821322,63834.87315757446,191195.80165480095,4117.491143412267,0.9548919200897217,0.0
17.0,189157.47416505934,252084.11454860994,63482.72949163111,247951.1316745242,4132.982874085754,0.7245399951934814,0.0
18.0,189157.47416505934,236599.2049441221,65042.724088471936,232386.57570547055,4212.62923865153,0.9859750270843506,0.0
19.0,189157.47416505934,267679.6976473782,64005.571198802805,263490.0283473664,4189.66930001185,0.9390971660614014,0.0
20.0,189157.47416505934,249641.72577769734,65522.26508336582,245611.89913156687,4029.8266461304847,1.1826820373535156,0.0
21.0,189157.47416505934,290159.5274305658,65729.06686270644,286154.67028770864,4004.8571428571445,1.0002739429473877,0.0
22.0,189157.47416505934,292271.63624279515,67098.19800544609,288223.9219570809,4047.714285714265,0.8314769268035889,0.0
23.0,189157.47416505934,290335.0807867578,67099.47259319467,286287.36650104355,4047.7142857142817,0.8133471012115479,0.0
