iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,1207.0,1207.0,132521.0,0.0,1207.0,9.53718090057373,9.747594879578744e-05
5.0,1207.0,1207.0,132521.0,0.0,1207.0,8.079447984695435,2.2637921536963953e-05
6.0,1207.0,1207.0,132521.0,0.0,1207.0,9.631735801696777,8.342712689733364e-05
7.0,1206.9999998512824,1206.9999998512824,132520.99998453684,0.0,1206.9999998512824,9.810554027557373,8.826396919677723e-13
8.0,1206.9999998512824,1207.0,133410.0,0.0,1207.0,1.4803259372711182,8.559632955087111e-05
