iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
2.0,241074.42777777914,241074.42777777914,106642.62452380946,240365.42777777914,709.0,0.09956717491149902,0.0
3.0,241074.42777777914,325096.70410319016,106642.62452380918,324408.4277777884,688.2763254017408,0.07904815673828125,0.0
4.0,241074.42777777914,306537.57193469367,106642.62452380953,305859.4277777773,678.1441569163645,0.14031696319580078,0.0
5.0,241074.42777777914,283668.6531441552,107431.15423511012,282960.02880059375,708.6243435614862,0.10057902336120605,0.0
6.0,241074.42777777914,282077.3420330429,107459.54262349854,281384.473245037,692.868788005922,0.09643411636352539,0.0
7.0,241074.42777777914,280486.03092193167,107487.93101188685,279808.9176894813,677.1132324503687,0.08127808570861816,0.0
20.0,241074.42777777865,241074.42777777865,106642.62452380947,240365.42777777865,708.9999999999999,0.0888969898223877,0.0
21.0,241074.42777777865,241074.4277777787,106642.62452380947,240365.4277777787,709.0,0.09708786010742188,0.0
22.0,241074.42777777865,241074.42777777888,106642.62452380947,240365.42777777888,709.0,0.09203195571899414,0.0
23.0,241074.42777777865,241074.42777777897,106642.62452380947,240365.42777777897,709.0,0.09469795227050781,0.0
24.0,241074.42777777865,300051.9786913707,108275.17019324226,299379.7611111119,672.2175802588021,0.09182596206665039,0.0
25.0,241074.42777777865,300056.7053580374,108281.08964016169,299379.7611111119,676.9442469254686,0.09204697608947754,0.0
26.0,241074.42777777865,300053.98087767,108277.6776337616,299379.7611111119,674.219766558088,0.09285807609558105,0.0
