iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,2420.0,2420.0,82416.0,0.0,2420.0,0.004806995391845703,0.0
2.0,2420.0,2420.0,82416.0,0.0,2420.0,0.004323005676269531,0.0
4.0,2420.0,2420.0,82416.0,0.0,2420.0,0.004560947418212891,0.0
21.0,2420.0,2420.0,82416.0,0.0,2420.0,0.004242897033691406,0.0
22.0,2420.0,2420.0,82416.0,0.0,2420.0,0.004180908203125,0.0
23.0,2420.0,2420.0,82416.0,0.0,2420.0,0.004336118698120117,0.0
24.0,2420.0,2420.0,82416.0,0.0,2420.0,0.004319906234741211,0.0
25.0,2420.0,2420.0000000000005,82416.0,0.0,2420.0000000000005,0.004395008087158203,0.0
26.0,2420.0,2420.0,82416.0,0.0,2420.0,0.004211902618408203,0.0
