S,F,T,B,D,Z1,Z2,ObjVal,time,GAP
3,3,5,2737,"{1: np.int64(1503), 2: np.int64(1691), 3: np.int64(1768), 4: np.int64(1753), 5: np.int64(1604)}",62808.0,33276.0,96084.0,0.01271200180053711,0.0
3,3,5,2737,"{1: np.int64(1503), 2: np.int64(1691), 3: np.int64(1768), 4: np.int64(1753), 5: np.int64(1604)}",62808.0,33276.0,96084.0,0.012879133224487305,0.0
