iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
2.0,119732.20190400955,119732.20190400955,24266.372315654837,117621.61653727337,2110.5853667361766,2.3862221240997314,0.0
5.0,119732.20190400955,119780.80872425713,24306.54196967991,117680.46078461778,2100.347939639358,2.286557912826538,0.0
6.0,119732.20190400955,121046.67540039879,24318.517358339446,118943.79888612674,2102.8765142720463,1.909708023071289,7.772514438483272e-05
7.0,119732.20190400955,121202.73407851855,24314.072405881474,119096.10670763388,2106.6273708846707,2.0882649421691895,0.0
8.0,119732.20190400955,120046.71630487072,24314.475215491264,117947.7859578106,2098.9303470601176,2.030992031097412,0.0
9.0,116422.144290173,116422.144290173,24361.582710627037,114322.63165951101,2099.512630661993,2.410892963409424,0.0
10.0,115623.93345861754,115623.93345861754,24574.442370926885,113525.00311155705,2098.930347060492,1.72996187210083,0.0
11.0,115623.93345861754,115966.16625595166,24621.464456455844,113870.09824655355,2096.0680093981005,1.528822898864746,0.0
12.0,114474.05533427159,114474.05533427159,24773.67362593842,112371.30853699574,2102.74679727584,2.0133249759674072,0.0
13.0,114474.05533427159,115849.21956910047,24767.687985662928,113742.67710082779,2106.542468272692,2.172322988510132,0.0
14.0,114474.05533427159,117269.94645141212,25006.64196692173,115192.25073638526,2077.695715026854,2.9376509189605713,0.0
15.0,114474.05533427159,116829.13942992968,24987.767843585883,114757.1476110075,2071.991818922175,2.4108099937438965,0.0
16.0,114474.05533427159,122724.08642101372,24917.90571192206,120680.2899023297,2043.7965186840156,2.3494248390197754,0.0
17.0,114474.05533427159,118615.40362413623,24950.28219453602,116558.17900162743,2057.2246225087947,1.6485810279846191,0.0
18.0,114474.05533427159,119545.44614166983,24937.658887292426,117478.78377697508,2066.662364694761,1.4944570064544678,0.0
19.0,114474.05533427159,119190.94993831738,24907.575903938858,117141.93742358337,2049.012514734018,1.4928338527679443,0.0
20.0,114474.05533427159,119460.42547937956,24931.152480417575,117398.06285935584,2062.362620023717,2.313081979751587,0.0
21.0,114474.05533427159,121882.72441597062,25058.9034024075,119821.15717817008,2061.5672378005393,1.4306411743164062,0.0
22.0,97980.90501119493,97980.90501119493,25840.788606641934,95880.67917482619,2100.225836368741,2.345874071121216,0.0
23.0,97980.90501119493,101138.90526897777,26109.885681379375,99074.27353614381,2064.6317328339674,2.9492909908294678,0.0
24.0,97980.90501119493,106558.37617129853,25626.72108037232,104495.89847718674,2062.4776941117857,2.3041951656341553,0.0
25.0,97980.90501119493,106349.74880945071,25613.67454260121,104284.4087776764,2065.3400317743,2.118220090866089,0.0
