attr,value
lobjval,1912.999999999987
fobjval,127630.9999710162
lz1,0.0
lz2,1912.999999999987
tot_runtime,11.83585786819458
gapf,9.292868693035071e-05
best_it,6.0
improvementHeuristic,6.65599886294877e-13
