attr,value
lobjval,581341.3710518519
fobjval,22398.19064034758
lz1,18209.63105185185
lz2,563131.74
tot_runtime,612.0297133922577
gapf,0.0017127737409248925
best_it,1.0
improvementHeuristic,0.0
