id,seed,DeltaRandom,DDecrease,D_t,B,LT,LS,LF,LL,delta,lobjval,lz1,lz2,fobjval,tot_runtime,gapf,best_it,himprov,solved
IR_B7000_D2333_F3_L8_T_5_seed_1,1,False,False,2333,7000,5,3,3,8,0.7,4920.51,0.0,4920.51,127557.0,4.73,0.0,8,15.03,True
IR_B7000_D2333_F3_L8_T_5_seed_2,2,False,False,2333,7000,5,3,3,8,0.7,36889.8,30171.8,6718.0,143921.6,18.12,0.0,22,0.0,True
IR_B7000_D2333_F3_L8_T_5_seed_3,3,False,False,2333,7000,5,3,3,8,0.7,3065.96,0.0,3065.96,115383.0,15.27,0.0,28,0.0,True
IR_B7000_D2333_F3_L8_T_5_seed_4,4,False,False,2333,7000,5,3,3,8,0.7,4095.72,0.0,4095.72,133260.0,7.49,0.0,15,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_0,0,False,False,3333,10000,5,3,3,8,0.7,5781.79,0.0,5781.79,209347.0,20.39,0.0,26,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_1,1,False,False,3333,10000,5,3,3,8,0.7,6714.39,0.0,6714.39,182245.0,9.97,0.0,25,16.32,True
IR_B10000_D3333_F3_L8_T_5_seed_2,2,False,False,3333,10000,5,3,3,8,0.7,7790.75,0.0,7790.75,206924.0,5.31,0.0,11,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_3,3,False,False,3333,10000,5,3,3,8,0.7,2900.14,0.0,2900.14,164851.0,2.6,0.0,4,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_4,4,False,False,3333,10000,5,3,3,8,0.7,7953.3,0.0,7953.3,190363.0,20.82,0.0,29,0.0,True
IR_B3000_D1000_F3_L12_T_5_seed_0,0,False,False,1000,3000,5,3,3,12,0.7,2748.94,853.87,1895.07,67547.06,12.94,0.0,2,27.03,True
IR_B3000_D1000_F3_L12_T_5_seed_1,1,False,False,1000,3000,5,3,3,12,0.7,6081.82,3838.16,2243.67,57515.43,56.31,0.0,28,33.28,True
IR_B3000_D1000_F3_L12_T_5_seed_2,2,False,False,1000,3000,5,3,3,12,0.7,4649.23,2190.82,2458.42,70569.37,32.77,0.0,24,13.62,True
IR_B3000_D1000_F3_L12_T_5_seed_3,3,False,False,1000,3000,5,3,3,12,0.7,2606.59,0.0,2606.59,61996.0,24.9,0.0,22,0.02,True
IR_B3000_D1000_F3_L12_T_5_seed_4,4,False,False,1000,3000,5,3,3,12,0.7,14046.91,12452.82,1594.09,59462.89,23.59,0.0,18,0.0,True
IR_B5000_D1666_F3_L12_T_5_seed_0,0,False,False,1666,5000,5,3,3,12,0.7,4798.77,1816.85,2981.92,112579.13,276.93,0.0,24,27.19,True
IR_B5000_D1666_F3_L12_T_5_seed_1,1,False,False,1666,5000,5,3,3,12,0.7,51480.39,48894.0,2586.39,94944.0,57.19,0.0,26,35.84,True
IR_B5000_D1666_F3_L12_T_5_seed_2,2,False,False,1666,5000,5,3,3,12,0.7,122322.53,119000.93,3321.6,97813.0,21.46,0.0,13,13.7,True
IR_B5000_D1666_F3_L12_T_5_seed_3,3,False,False,1666,5000,5,3,3,12,0.7,3915.03,0.0,3915.03,103293.0,15.25,0.0,9,6.92,True
IR_B5000_D1666_F3_L12_T_5_seed_4,4,False,False,1666,5000,5,3,3,12,0.7,50973.44,47429.34,3544.1,96786.47,13.19,0.0,7,0.0,True
IR_B7000_D2333_F3_L12_T_5_seed_0,0,False,False,2333,7000,5,3,3,12,0.7,48591.67,43589.43,5002.24,155253.63,291.72,0.0,24,25.86,True
IR_B7000_D2333_F3_L12_T_5_seed_1,1,False,False,2333,7000,5,3,3,12,0.7,91885.56,86055.0,5830.56,128166.0,28.86,0.0,6,7.99,True
IR_B7000_D2333_F3_L12_T_5_seed_2,2,False,False,2333,7000,5,3,3,12,0.7,67332.85,61107.32,6225.53,152175.48,6.24,0.0,8,14.4,True
IR_B7000_D2333_F3_L12_T_5_seed_3,3,False,False,2333,7000,5,3,3,12,0.7,13029.33,9324.0,3705.33,144642.0,38.74,0.0,28,0.01,True
IR_B7000_D2333_F3_L12_T_5_seed_4,4,False,False,2333,7000,5,3,3,12,0.7,4182.23,0.0,4182.23,142903.0,4.02,0.0,3,0.0,True
IR_B10000_D3333_F3_L12_T_5_seed_0,0,False,False,3333,10000,5,3,3,12,0.7,243062.05,234213.88,8848.17,212934.36,77.99,0.0,8,25.48,True
IR_B10000_D3333_F3_L12_T_5_seed_1,1,False,False,3333,10000,5,3,3,12,0.7,123939.56,114640.93,9298.63,185335.08,0.0,0.0,1,23.63,True
