iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,733793.0701045042,733793.0701045042,23716.86541454364,170640.39010450416,563152.68,100.0479998588562,0.0009458081531493607
2.0,733793.0701045042,736704.0367057704,23717.066651690482,174142.59670577035,562561.4400000001,101.49300003051758,0.0010136484673247792
3.0,733793.0701045042,733988.1353588088,23718.525050674092,171027.45535880877,562960.68,100.1010000705719,0.0009148183809881256
4.0,733347.7501045043,733347.7501045043,23716.86541454365,170640.39010450416,562707.3600000001,100.03999996185303,0.0007614447412833187
5.0,733347.7501045043,736878.1478168885,23717.066651690842,174142.59670577728,562735.5511111112,100.04100012779236,0.0008733943973986902
6.0,733347.7501045043,737025.0233724369,23717.066651690482,174142.5967057704,562882.4266666665,100.11100006103516,0.0009093123967656655
7.0,733347.7501045043,733462.5804591579,23716.865409031605,170640.38967829265,562822.1907808653,100.04800009727478,0.0009875314954125047
8.0,733347.7501045043,736958.7362613259,23717.066651690482,174142.59670577035,562816.1395555555,100.117999792099,0.0009370855973687769
9.0,733209.7661045041,733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,100.11699986457825,0.0009082345544698994
10.0,733209.7661045041,733413.9856600597,23716.86541454365,170640.39010450416,562773.5955555555,100.0389997959137,0.0008869421742437509
11.0,733209.7661045041,733276.7101045041,23716.86541454365,170640.39010450416,562636.32,100.08999991416931,0.0011110324890124164
12.0,733209.7661045041,735467.5576415727,23717.589186742833,173172.3736415727,562295.184,100.08800005912781,0.001133005315838515
13.0,733209.7661045041,733482.6012647463,23716.86541180107,170640.38989219765,562842.2113725486,100.29099988937378,0.0010412182530186065
14.0,733209.7661045041,733354.1101045043,23716.86541454365,170640.39010450416,562713.7200000001,100.12599992752075,0.000988489716435882
15.0,733209.7661045041,735583.0376415726,23717.589186742833,173172.3736415727,562410.664,100.02900004386902,0.0009980471075149576
16.0,733209.7661045041,733662.5101045042,23716.865414543652,170640.39010450416,563022.12,100.03500008583069,0.0009950843759822746
17.0,733209.7661045041,733383.1141045041,23716.865414543652,170640.39010450416,562742.7239999999,100.14299988746643,0.0009671833340787405
18.0,733209.7661045041,736700.4367057704,23717.066651690482,174142.59670577035,562557.8400000001,100.10000014305115,0.00108214327272169
19.0,733209.7661045041,733519.5856600598,23716.86541454365,170640.39010450416,562879.1955555556,100.09599995613098,0.0009997905883399692
20.0,733209.7661045041,733578.9612156152,23716.86541454365,170640.3901045041,562938.5711111111,100.03500008583069,0.0009698643190860817
21.0,733209.7661045041,735547.8136415726,23717.589186742833,173172.3736415727,562375.44,100.11500000953674,0.0010534873624104472
22.0,733209.7661045041,735472.5065304615,23717.58918674283,173172.3736415727,562300.1328888888,100.04900002479553,0.0011361741829275188
23.0,733209.7661045041,736879.2377507021,23717.06664687193,174142.59775992483,562736.6399907772,100.11899995803833,0.0008841679338507622
24.0,733209.7661045041,737030.5651502146,23717.06665169048,174142.5967057703,562887.9684444444,100.17400002479553,0.0009223049011284694
25.0,733209.7661045041,736792.5367057704,23717.066651690482,174142.59670577032,562649.9400000001,100.08500003814697,0.0007684819934300049
26.0,733209.7661045041,733247.1901045042,23716.86541454365,170640.39010450421,562606.8,100.16400003433228,0.0009615219123612606
27.0,733209.7661045041,736755.4967057704,23717.066651690486,174142.59670577035,562612.9,100.04399991035461,0.0008880616307625113
28.0,733209.7661045041,736685.6767057704,23717.066651690482,174142.59670577032,562543.0800000001,100.03800010681152,0.0007732547899238731
29.0,733209.7661045041,733529.5301045042,23716.86541454365,170640.39010450416,562889.14,100.10199999809265,0.0008152008468548438
30.0,733209.7661045041,736903.112261326,23717.066651690468,174142.5967057704,562760.5155555556,100.04999995231628,0.0011767055739943118
31.0,733209.7661045041,736734.6367057704,23717.066651690482,174142.59670577035,562592.04,100.125,0.0010227971447763853
32.0,733209.7661045041,733340.3452156154,23716.86541454365,170640.39010450416,562699.9551111112,100.12100005149841,0.0010991811541811334
33.0,733209.7661045041,735542.6903845958,23717.58918126499,173172.3748406422,562370.3155439536,100.12199997901917,0.0009336029332899607
34.0,733209.7661045041,733377.1012156154,23716.86541454365,170640.39010450416,562736.7111111112,100.10799980163574,0.000941745845918689
35.0,733209.7661045041,733386.2612156154,23716.865414543652,170640.39010450421,562745.8711111112,100.1029999256134,0.0010392876251327863
36.0,733209.7661045041,733567.1457181443,23716.865400309838,170640.3901915816,562926.7555265627,100.09300017356873,0.0011012401407740054
37.0,733209.7661045041,736604.9807057703,23717.066651690482,174142.59670577035,562462.384,100.07699990272522,0.0010105334882421877
38.0,733209.7661045041,736701.0367057703,23717.066651690482,174142.59670577032,562558.44,100.04999995231628,0.0009372167122265718
39.0,733209.7661045041,737101.5947098553,23717.893487185225,174402.2747098553,562699.32,100.12800002098083,0.0008979542615067298
40.0,733209.7661045041,733438.1545489484,23716.865414543652,170640.39010450407,562797.7644444443,100.06799983978271,0.001055219522172095
41.0,733209.7661045041,733393.3659993558,23716.865407498237,170640.39045286938,562752.9755464864,100.0699999332428,0.0009351176085673716
42.0,733209.7661045041,733291.3368178635,23716.86540954443,170640.38971408215,562650.9471037814,100.07599997520447,0.001077234379075735
43.0,733209.7661045041,735411.8614501238,23717.74923986724,173188.10545052556,562223.7559995983,100.06500005722046,0.0008467394508539605
44.0,733209.7661045041,733731.6582319342,23717.09013064332,170658.14267637863,563073.5155555556,100.06200003623962,0.0010783116293328324
45.0,733209.7661045041,733331.9101045042,23716.865414543652,170640.39010450416,562691.52,100.05599999427795,0.0009578686666512827
46.0,733209.7661045041,733219.5897564312,23716.865410182003,170640.38976385843,562579.1999925728,100.14100003242493,0.0008185405830536043
47.0,733209.7661045041,733651.7328493118,23717.049589366376,170786.4573054485,562865.2755438633,100.14000010490417,0.0009551305408489825
48.0,733209.7661045041,733549.5412156152,23716.865414543656,170640.39010450421,562909.151111111,100.07299995422363,0.0008797795460149958
49.0,733209.7661045041,733326.0501045042,23716.86541454365,170640.39010450416,562685.66,100.07699990272522,0.001034810645859342
50.0,733209.7661045041,736935.7967057703,23717.066651690482,174142.59670577032,562793.2,100.1010000705719,0.0009276025033460357
